iter	Passed	Remaining
0	348	1044662
1	687	1030403
2	1002	1001930
3	1310	981918
4	1608	963524
5	1883	939666
6	2165	925700
7	2467	922782
8	2787	926298
9	3106	928936
10	3383	919406
11	3670	914023
12	3934	903965
13	4293	915793
14	4584	912402
15	4883	910751
16	5154	904440
17	5417	897488
18	5710	896014
19	6004	894729
20	6295	893128
21	6597	893018
22	6906	893997
23	7205	893532
24	7494	891873
25	7778	889713
26	8086	890463
27	8431	894958
28	8733	894760
29	9041	895152
30	9397	900081
31	9704	900091
32	9976	897007
33	10301	898650
34	10617	899473
35	10896	897159
36	11189	896037
37	11515	897627
38	11785	894774
39	12085	894298
40	12420	896399
41	12753	898193
42	13116	901980
43	13435	902647
44	13787	905410
45	14090	904846
46	14456	908291
47	14862	914052
48	15214	916305
49	15596	920186
50	15929	921100
51	16248	921153
52	16560	920817
53	16839	918675
54	17144	918000
55	17551	922707
56	17968	927745
57	18372	931945
58	18703	932299
59	19053	933600
60	19441	936703
61	19774	937069
62	20095	936818
63	20415	936559
64	20713	935307
65	21018	934362
66	21339	934175
67	21654	933709
68	21972	933342
69	22258	931664
70	22542	929972
71	22848	929181
72	23155	928420
73	23491	928859
74	23833	929516
75	24171	929983
76	24492	929759
77	24750	927181
78	25037	925738
79	25326	924415
80	25611	922960
81	25903	921794
82	26185	920277
83	26482	919323
84	26814	919571
85	27120	918948
86	27424	918243
87	27738	917902
88	28052	917542
89	28346	916523
90	28583	913738
91	28863	912351
92	29153	911274
93	29513	912420
94	29814	911703
95	30048	908973
96	30334	907854
97	30632	907094
98	30929	906326
99	31198	904770
100	31500	904160
101	31843	904719
102	32173	904912
103	32521	905602
104	32778	903741
105	33085	903305
106	33378	902472
107	33704	902523
108	34044	902968
109	34333	902032
110	34603	900636
111	34880	899427
112	35174	898673
113	35446	897350
114	35770	897362
115	36113	897857
116	36453	898250
117	36800	898817
118	37162	899710
119	37595	902292
120	37953	903035
121	38294	903374
122	38595	902769
123	38916	902616
124	39443	907198
125	41368	943598
126	43305	979652
127	45279	1015957
128	47505	1057267
129	49398	1090571
130	51140	1120012
131	53188	1155648
132	55007	1185762
133	56762	1214039
134	58347	1238258
135	60252	1268839
136	62217	1300201
137	64069	1328739
138	65672	1351712
139	67229	1373392
140	68364	1386205
141	69571	1400248
142	71004	1418603
143	72394	1435815
144	73871	1454497
145	76061	1486845
146	77516	1504447
147	79057	1523450
148	80502	1540350
149	81979	1557611
150	83710	1579412
151	85348	1599155
152	86789	1614959
153	88503	1635581
154	90237	1656291
155	91892	1675262
156	93480	1692765
157	94848	1706080
158	96513	1724487
159	97987	1739282
160	99369	1752228
161	100986	1769138
162	102484	1783741
163	103938	1797383
164	105989	1821090
165	107314	1832107
166	108766	1845129
167	110480	1862383
168	111740	1871823
169	113094	1882688
170	114445	1893375
171	115966	1906700
172	117756	1924268
173	119142	1935032
174	120316	1942245
175	121662	1952126
176	123061	1962722
177	124311	1970821
178	125480	1977545
179	126801	1986555
180	128501	2001350
181	129704	2008283
182	130927	2015425
183	132098	2021687
184	133160	2026203
185	134765	2038870
186	136881	2059073
187	138710	2074753
188	140363	2087635
